featuresID,propertyType,bathrooms,bedrooms,architectureType,cooling,coolingType,exteriorType,fireplace,fireplaceType,floorCount,foundationType,garage,garageType,garageSpaces,heating,heatingType,roofType,roomCount,unitCount,pool,poolType,viewType
302,Single Family,2.5,4.0,Unkown,Unknown,Unknown,Concrete Block,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Other,0.0,1.0,True,Unknown,Unknown
303,Condo,0.0,3.0,Condo / Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,True,Unknown,Unknown
304,Condo,2.0,2.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,4.0,88.0,True,Unknown,Unknown
305,Townhouse,2.0,3.0,Unkown,True,Central,Brick Veneer,True,Prefab,0.0,OTHER,True,Garage,0.0,True,Forced Air,Shingle,0.0,1.0,Unknown,Unknown,Unknown
306,Single Family,1.5,3.0,Unkown,True,Central,Unknown,True,Unknown,1.0,Unknown,True,Attached Garage,2.0,True,Central,Tile,0.0,1.0,Unknown,Unknown,Unknown
307,Single Family,0.0,0.0,Unkown,Unknown,Unknown,Wood,Unknown,Unknown,2.0,Unknown,True,Detached,0.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
308,Condo,2.0,3.0,Condo / Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,True,Attached Garage,1.0,True,Unknown,Unknown,0.0,1.0,True,Community Pool,Average
309,Single Family,1.0,2.0,Unkown,True,Central,Brick,Unknown,Unknown,1.0,Other,True,Detached,0.0,True,Central,Asphalt,5.0,1.0,Unknown,Unknown,Unknown
310,Single Family,1.0,2.0,Cape Cod,Unknown,Unknown,OTHER,True,Unknown,1.0,Unknown,Unknown,Unknown,0.0,True,Radiant,Asphalt,4.0,1.0,Unknown,Unknown,Unknown
311,Single Family,3.0,4.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
312,Single Family,2.0,3.0,Split Entry,True,Commercial,Vinyl,Unknown,Unknown,0.0,Unknown,True,Attached,2.0,True,Unknown,Asphalt,7.0,0.0,Unknown,Unknown,Unknown
313,Single Family,2.0,3.0,Unkown,True,Central,Brick Veneer,True,Unknown,0.0,Slab / Mat / Raft,True,Garage,0.0,True,Central,Composition Shingle,0.0,0.0,Unknown,Unknown,Unknown
314,Single Family,3.0,4.0,Unkown,True,Central,Aluminum / Vinyl Siding,True,Unknown,2.0,Crawl / Raised,True,Garage,2.0,True,Forced Air,Composition Shingle,8.0,1.0,Unknown,Unknown,Unknown
315,Single Family,2.0,2.0,Townhouse,True,Central,Wood,True,Unknown,2.0,Unknown,Unknown,Unknown,0.0,True,Central,Unknown,0.0,1.0,Unknown,Unknown,Unknown
316,Single Family,2.0,2.0,Condo / Apartment,True,Central,Brick,True,Unknown,2.0,Slab / Mat / Raft,True,Attached,2.0,True,Central,Unknown,5.0,1.0,Unknown,Unknown,Unknown
317,Single Family,1.0,2.0,Unkown,True,Commercial,Stucco,Unknown,Unknown,1.0,Slab / Mat / Raft,Unknown,Unknown,0.0,True,Forced Air,Composition Shingle,4.0,1.0,Unknown,Unknown,Unknown
318,Apartment,0.0,6.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
319,Single Family,2.5,4.0,Conventional,True,Central,Other,True,Unknown,2.0,Unknown,True,Garage,0.0,True,Forced Air,Unknown,8.0,1.0,Unknown,Unknown,Unknown
320,Condo,3.0,3.0,Unkown,True,Unknown,Concrete Block,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,1.0,True,Unknown,Unknown
321,Condo,2.0,2.0,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown
322,Single Family,5.0,7.0,Colonial,Unknown,Unknown,Aluminum / Vinyl Siding,True,Single,2.0,Retaining Wall,True,Detached Garage,4.0,True,Gas,Asphalt,11.0,1.0,True,"Pool, Concrete",Unknown
323,Single Family,3.0,3.0,Split Level,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,True,Garage,0.0,Unknown,Unknown,Unknown,0.0,1.0,Unknown,Unknown,Unknown
